hsa-let-7f-2	kidney cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-miR-16-1	prostate cancer	down-regulated	Northern blot, qRT-PCR etc	2008	The miR-15a-miR-16-1 cluster controls prostate cancer by targeting multiple oncogenic activities.
hsa-miR-221	prostate cancer	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA profile analysis of human prostate cancers.
hsa-miR-222	prostate cancer	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA profile analysis of human prostate cancers.
hsa-miR-302	teratocarcinoma	up-regulated	Northern blot, qRT-PCR etc	2007	Marked change in microRNA expression during neuronal differentiation of human teratocarcinoma NTera2D1 and mouse embryonal carcinoma P19 cells.
hsa-miR-302a	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-302b	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-302b*	acute myeloid leukemia (AML)	down-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-221	melanoma	up-regulated	northern blot, qRT-PCR etc	2008	MicroRNA-221 and -222 pathway controls melanoma progression.
hsa-miR-222	melanoma	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA-221 and -222 pathway controls melanoma progression.
hsa-let-7f	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-126 	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-16 	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-192 	ulcerative colitis (UC)	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-195 	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-199a* 	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-203 	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-21 	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-23a 	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-23b 	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-24 	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-26a 	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-29a 	ulcerative colitis (UC)	up-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-422b 	ulcerative colitis (UC)	down-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-629 	ulcerative colitis (UC)	down-regulated	microarray	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-299-3p	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-299-5p	dermatomyositis (DM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-299-5p	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-299-5p	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-299-5p	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-299-5p	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-29a	Alzheimer's disease	down-regulated	Northern blot, qRT-PCR etc	2008	Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates with increased BACE1/beta-secretase expression.
hsa-miR-29a	lung cancer	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA-29 family reverts aberrant methylation in lung cancer by targeting DNA methyltransferases 3A and 3B.
hsa-miR-29a	type 2 diabetes	up-regulated	Northern blot, qRT-PCR etc	2007	Overexpression of micro ribonucleic acid 29, highly up-regulated in diabetic rats, leads to insulin resistance in 3T3-L1 adipocytes.
hsa-miR-29a	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-29a	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNAs are aberrantly expressed in hypertrophic heart: do they play a role in cardiac hypertrophy?
hsa-miR-29a	Cerebellar neurodegeneration	down-regulated	Northern blot, qRT-PCR etc	2007	Cerebellar neurodegeneration in the absence of microRNAs.
hsa-miR-29a	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-29a	facioscapulohumeral muscular dystrophy (FSHD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-29a	homozygous sickle cell disease (HbSS)	up-regulated	microarray	2008	The genomic analysis of erythrocyte microRNA expression in sickle cell diseases.
hsa-miR-29a	Huntington's disease (HD)	up-regulated	Northern blot, qRT-PCR etc	2007	A microRNA-based gene dysregulation pathway in Huntington's disease.
hsa-miR-29a	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-29a	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-29a	schizophrenia	down-regulated	microarray	2007	microRNA expression in the prefrontal cortex of individuals with schizophrenia and schizoaffective disorder.
hsa-miR-29a	serous ovarian cancer	down-regulated	microarray	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-29a-2	chronic lymphocytic leukemia (CLL)	down-regulated	Northern blot, qRT-PCR etc	2005	A MicroRNA signature associated with prognosis and progression in chronic lymphocytic leukemia.
hsa-miR-29a-2	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-29b	cholangiocarcinoma	down-regulated	Northern blot, qRT-PCR etc	2007	mir-29 regulates Mcl-1 protein expression and apoptosis.
hsa-miR-29b	chronic lymphocytic leukemia (CLL)	down-regulated	Northern blot, qRT-PCR etc	2006	Tcl1 expression in chronic lymphocytic leukemia is regulated by miR-29 and miR-181.
hsa-miR-29b	chronic lymphocytic leukemia (CLL)	down-regulated	Northern blot, qRT-PCR etc	2007	The role of microRNA and other non-coding RNA in the pathogenesis of chronic lymphocytic leukemia.
hsa-miR-452	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-452	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-452	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-483	chronic pancreatitis	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-483	primary biliary cirrhosis (PBC)	down-regulated	microarray	2008	WITHDRAWN:MicroRNA profile in peripheral blood T cells of patients with primary biliary cirrhosis.
hsa-miR-484	autism spectrum disorder (ASD)	up-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-485-5p	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-486	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNAs are aberrantly expressed in hypertrophic heart: do they play a role in cardiac hypertrophy?
hsa-miR-486	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-486	uterine leiomyoma (ULM)	down-regulated	microarray	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-487b	dermatomyositis (DM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-487b	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-487b	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-487b	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-487b	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-487b	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-491	prostate cancer	up-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-493-3p	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-493-3p	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-493-3p	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-493-5p	uterine leiomyoma (ULM)	up-regulated	microarray	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-494	chronic pancreatitis	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-494	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-494	primary biliary cirrhosis (PBC)	down-regulated	microarray	2008	WITHDRAWN:MicroRNA profile in peripheral blood T cells of patients with primary biliary cirrhosis.
hsa-miR-495	epithelial ovarian cancer (EOC)	down-regulated	Northern blot, qRT-PCR etc	2008	Genomic and epigenetic alterations deregulate microRNA expression in human epithelial ovarian cancer.
hsa-miR-92-1	malignant lymphoma	up-regulated	Northern blot, qRT-PCR etc	2005	A microRNA cluster as a target of genomic amplification in malignant lymphoma.
hsa-miR-92-1	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-miR-92-2	T-cell leukemia	up-regulated	Northern blot, qRT-PCR etc	2006	Oncogenic potential of the miR-106-363 cluster and its implication in human T-cell leukemia.
hsa-miR-92-2	gastric cancer (stomach cancer)	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-92-2	pancreatic cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-92-2	prostate cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-93	serous ovarian cancer	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-93	gastric cancer (stomach cancer)	up-regulated	Northern blot, qRT-PCR etc	2008	E2F1-regulated microRNAs impair TGFbeta-dependent cell-cycle arrest and apoptosis in gastric cancer.
hsa-miR-93	vesicular stomatitis	down-regulated	Northern blot, qRT-PCR etc	2007	Hypersusceptibility to vesicular stomatitis virus infection in Dicer1-deficient mice is due to impaired miR24 and miR93 expression.
hsa-miR-93	Alzheimer's disease	down-regulated	microarray	2008	Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates with increased BACE1/beta-secretase expression.
hsa-miR-93	autism spectrum disorder (ASD)	down-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-93	hepatocellular carcinoma (HCC)	up-regulated	microarray	2006	Downregulation of miR-122 in the rodent and human hepatocellular carcinomas.
hsa-miR-93	neuroblastoma (NB)	up-regulated	Northern blot, qRT-PCR etc	2007	MYCN regulates oncogenic MicroRNAs in neuroblastoma.
hsa-miR-93	pancreatic ductal adenocarcinoma (PDAC)	up-regulated	microarray	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-9-3	Oral Squamous Cell Carcinoma (OSCC)	up-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-9-3	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-9-3	pituitary adenoma	down-regulated	microarray	2007	Identification of differentially expressed microRNAs by microarray: a possible role for microRNA genes in pituitary adenomas.
